期刊名称	IF	JCR分区	Category	ISSN	eISSN	中科院分区
CLINICAL AND EXPERIMENTAL RHEUMATOLOGY	3.3	Q2	RHEUMATOLOGY(SCIE)	0392-856X	1593-098X	3
Clinical and Molecular Hepatology	16.9	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	2287-2728	2287-285X	1
Clinical and Translational Allergy	4	Q2	ALLERGY(SCIE)	N/A	2045-7022	2
Clinical and Translational Medicine	6.8	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);ONCOLOGY(SCIE)	2001-1326	2001-1326	2
CLINICAL AUTONOMIC RESEARCH	3.4	Q2	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	0959-9851	1619-1560	3
CLINICAL CANCER RESEARCH	10.2	Q1	ONCOLOGY(SCIE)	1078-0432	1557-3265	1
CLINICAL CHEMISTRY	6.3	Q1	MEDICAL LABORATORY TECHNOLOGY(SCIE)	0009-9147	1530-8561	2
CLINICAL CHEMISTRY AND LABORATORY MEDICINE	3.7	Q1	MEDICAL LABORATORY TECHNOLOGY(SCIE)	1434-6621	1437-4331	2
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW	6.1	Q1	PSYCHOLOGY, CLINICAL(SSCI)	1096-4037	1573-2827	1
Clinical Colorectal Cancer	3.2	Q2	ONCOLOGY(SCIE)	1533-0028	1938-0674	3
Clinical Epigenetics	4.4	Q1	GENETICS & HEREDITY(SCIE);ONCOLOGY(SCIE)	1868-7075	1868-7083	2
Clinical Gastroenterology and Hepatology	12	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1542-3565	1542-7714	1
CLINICAL IMMUNOLOGY	3.8	Q2	IMMUNOLOGY(SCIE)	1521-6616	1521-7035	3
CLINICAL INFECTIOUS DISEASES	7.3	Q1	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE)	1058-4838	1537-6591	2
CLINICAL JOURNAL OF PAIN	3.1	Q1	ANESTHESIOLOGY(SCIE);CLINICAL NEUROLOGY(SCIE)	0749-8047	1536-5409	2
Clinical Journal of the American Society of Nephrology	7.1	Q1	UROLOGY & NEPHROLOGY(SCIE)	1555-9041	1555-905X	1
Clinical Kidney Journal	4.6	Q1	UROLOGY & NEPHROLOGY(SCIE)	2048-8505	2048-8513	3
Clinical Lung Cancer	3.3	Q2	ONCOLOGY(SCIE)	1525-7304	1938-0690	3
CLINICAL MICROBIOLOGY AND INFECTION	8.5	Q1	INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE)	1198-743X	1469-0691	2
CLINICAL MICROBIOLOGY REVIEWS	19.3	Q1	MICROBIOLOGY(SCIE)	0893-8512	1098-6618	1
CLINICAL NEUROPHYSIOLOGY	3.6	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	1388-2457	1872-8952	3
CLINICAL NUCLEAR MEDICINE	9.6	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0363-9762	1536-0229	3
CLINICAL NUTRITION	7.4	Q1	NUTRITION & DIETETICS(SCIE)	0261-5614	1532-1983	1
Clinical Oral Investigations	3.1	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	1432-6981	1436-3771	2
CLINICAL PHARMACOKINETICS	4	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0312-5963	1179-1926	2
CLINICAL PHARMACOLOGY & THERAPEUTICS	5.5	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0009-9236	1532-6535	2
Clinical Proteomics	3.3	Q2	BIOCHEMICAL RESEARCH METHODS(SCIE)	1542-6416	1559-0275	3
Clinical Psychological Science	4.1	Q1	PSYCHIATRY(SCIE);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)	2167-7026	2167-7034	2
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE	6.6	Q1	PSYCHOLOGY, CLINICAL(SSCI)	0969-5893	1468-2850	2
CLINICAL PSYCHOLOGY REVIEW	12.2	Q1	PSYCHOLOGY, CLINICAL(SSCI)	0272-7358	1873-7811	1
Clinical Research in Cardiology	3.7	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1861-0684	1861-0692	2
CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY	11.3	Q1	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	1080-0549	1559-0267	1
CLINICAL SCIENCE	7.7	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	0143-5221	1470-8736	2
CLINICAL TOXICOLOGY	3.3	Q2	TOXICOLOGY(SCIE)	1556-3650	1556-9519	3
CLINICS IN CHEST MEDICINE	4.5	Q1	RESPIRATORY SYSTEM(SCIE)	0272-5231	1557-8216	3
CNS DRUGS	7.4	Q1	CLINICAL NEUROLOGY(SCIE);PHARMACOLOGY & PHARMACY(SCIE);PSYCHIATRY(SCIE)	1172-7047	1179-1934	1
CNS Neuroscience & Therapeutics	5	Q1	NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1755-5930	1755-5949	2
CNS SPECTRUMS	4.1	Q1	CLINICAL NEUROLOGY(SCIE);PSYCHIATRY(SCIE)	1092-8529	2165-6509	3
Cochrane Database of Systematic Reviews	9.4	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	1469-493X	1361-6137	2
COGNITIVE BEHAVIOUR THERAPY	3.2	Q1	PSYCHOLOGY, CLINICAL(SSCI)	1650-6073	1651-2316	2
Cognitive Computation	4.3	Q1	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);NEUROSCIENCES(SCIE)	1866-9956	1866-9964	3
Cognitive Research-Principles and Implications	3.1	Q1	PSYCHOLOGY, EXPERIMENTAL(SSCI)	2365-7464	2365-7464	2
Cold Spring Harbor Perspectives in Biology	8.4	Q1	CELL BIOLOGY(SCIE)	1943-0264	1943-0264	1
Cold Spring Harbor Perspectives in Medicine	10.1	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	2157-1422	2157-1422	2
Collabra-Psychology	3.2	Q1	PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	2474-7394	2474-7394	3
Communications Biology	5.1	Q1	BIOLOGY(SCIE)	N/A	2399-3642	1
Communications Chemistry	6.2	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE)	2399-3669	2399-3669	1
Communications Medicine	6.3	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(ESCI)	2730-664X	2730-664X	2
Comparative Migration Studies	3.7	Q1	DEMOGRAPHY(SSCI)	N/A	2214-594X	1
COMPLEMENTARY THERAPIES IN MEDICINE	3.5	Q1	INTEGRATIVE & COMPLEMENTARY MEDICINE(SCIE)	0965-2299	1873-6963	3
Complex & Intelligent Systems	4.6	Q2	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	2199-4536	2198-6053	3
Comprehensive Physiology	5.2	Q1	PHYSIOLOGY(SCIE)	2040-4603	2040-4603	2
COMPREHENSIVE PSYCHIATRY	4.2	Q1	PSYCHIATRY(SCIE, SSCI)	0010-440X	1532-8384	2
Computational and Structural Biotechnology Journal	4.1	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	2001-0370	2001-0370	3
COMPUTER SPEECH AND LANGUAGE	3.4	Q2	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)	0885-2308	1095-8363	3
COMPUTERS IN HUMAN BEHAVIOR	8.9	Q1	PSYCHOLOGY, EXPERIMENTAL(SSCI);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	0747-5632	1873-7692	1
Computers in Human Behavior Reports	5.8	Q1	PSYCHOLOGY, EXPERIMENTAL(ESCI);PSYCHOLOGY, MULTIDISCIPLINARY(ESCI)	2451-9588	2451-9588	2
Conservation Letters	5.9	Q1	BIODIVERSITY CONSERVATION(SCIE)	1755-263X	1755-263X	1
CONTACT DERMATITIS	4.6	Q1	ALLERGY(SCIE);DERMATOLOGY(SCIE)	0105-1873	1600-0536	1
Contact Lens & Anterior Eye	3.7	Q1	OPHTHALMOLOGY(SCIE)	1367-0484	1476-5411	3
CORTEX	3.3	Q1	BEHAVIORAL SCIENCES(SCIE);NEUROSCIENCES(SCIE);PSYCHOLOGY, EXPERIMENTAL(SSCI)	0010-9452	1973-8102	2
CRITICAL CARE	9.3	Q1	CRITICAL CARE MEDICINE(SCIE)	1364-8535	1466-609X	1
CRITICAL CARE MEDICINE	6	Q1	CRITICAL CARE MEDICINE(SCIE)	0090-3493	1530-0293	1
CRITICAL REVIEWS IN ANALYTICAL CHEMISTRY	5.2	Q1	CHEMISTRY, ANALYTICAL(SCIE)	1040-8347	1547-6510	3
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY	6.4	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE)	1040-9238	1549-7798	2
CRITICAL REVIEWS IN BIOTECHNOLOGY	7.7	Q1	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	0738-8551	1549-7801	2
CRITICAL REVIEWS IN CLINICAL LABORATORY SCIENCES	5.5	Q1	MEDICAL LABORATORY TECHNOLOGY(SCIE)	1040-8363	1549-781X	2
CRITICAL REVIEWS IN MICROBIOLOGY	5.1	Q1	MICROBIOLOGY(SCIE)	1040-841X	1549-7828	2
CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY	5.6	Q1	HEMATOLOGY(SCIE);ONCOLOGY(SCIE)	1040-8428	1879-0461	2
CRITICAL REVIEWS IN TOXICOLOGY	4.1	Q1	TOXICOLOGY(SCIE)	1040-8444	1547-6898	2
Current Addiction Reports	4.6	Q1	SUBSTANCE ABUSE(SSCI)	N/A	2196-2952	2
CURRENT ALLERGY AND ASTHMA REPORTS	4.6	Q2	ALLERGY(SCIE);IMMUNOLOGY(SCIE)	1529-7322	1534-6315	2
Current Atherosclerosis Reports	5.2	Q1	PERIPHERAL VASCULAR DISEASE(SCIE)	1523-3804	1534-6242	2
CURRENT BIOLOGY	7.5	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	0960-9822	1879-0445	1
Current Cardiology Reports	3.3	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	1523-3782	1534-3170	3
Current Developments in Nutrition	3.2	Q2	NUTRITION & DIETETICS(ESCI)	2475-2991	2475-2991	3
Current Diabetes Reports	6.4	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	1534-4827	1539-0829	2
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE	5.8	Q1	PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	0963-7214	1467-8721	1
Current Heart Failure Reports	3.4	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(ESCI)	1546-9530	1546-9549	3
Current Hematologic Malignancy Reports	3.3	Q2	HEMATOLOGY(SCIE);ONCOLOGY(SCIE)	1558-8211	1558-822X	3
Current HIV/AIDS Reports	4.4	Q1	INFECTIOUS DISEASES(SCIE)	1548-3568	1548-3576	2
CURRENT HYPERTENSION REPORTS	5.1	Q1	PERIPHERAL VASCULAR DISEASE(SCIE)	1522-6417	1534-3111	2
Current Neurology and Neuroscience Reports	5.2	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	1528-4042	1534-6293	2
Current Neuropharmacology	5.3	Q1	NEUROSCIENCES(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1570-159X	1875-6190	3
Current Nutrition Reports	5.5	Q1	NUTRITION & DIETETICS(SCIE)	N/A	2161-3311	2
Current Obesity Reports	11	Q1	ENDOCRINOLOGY & METABOLISM(SCIE);NUTRITION & DIETETICS(SCIE)	2162-4968	2162-4968	1
Current Oncology	3.4	Q2	ONCOLOGY(SCIE)	1198-0052	1718-7729	3
Current Oncology Reports	5	Q1	ONCOLOGY(SCIE)	1523-3790	1534-6269	2
Current Opinion in Behavioral Sciences	3.5	Q1	BEHAVIORAL SCIENCES(SCIE);NEUROSCIENCES(SCIE);PSYCHOLOGY, EXPERIMENTAL(SSCI)	2352-1546	2352-1554	2
CURRENT OPINION IN BIOTECHNOLOGY	7	Q1	BIOCHEMICAL RESEARCH METHODS(SCIE);BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	0958-1669	1879-0429	2
CURRENT OPINION IN CELL BIOLOGY	4.3	Q2	CELL BIOLOGY(SCIE)	0955-0674	1879-0410	2
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE	3.5	Q2	ENDOCRINOLOGY & METABOLISM(SCIE);NUTRITION & DIETETICS(SCIE)	1363-1950	1473-6519	3
Current Opinion in Critical Care	3.4	Q2	CRITICAL CARE MEDICINE(SCIE)	1070-5295	1531-7072	2
CURRENT OPINION IN GENETICS & DEVELOPMENT	3.6	Q2	CELL BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	0959-437X	1879-0380	2
Current Opinion in Green and Sustainable Chemistry	9.4	Q1	CHEMISTRY, MULTIDISCIPLINARY(SCIE);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SCIE)	2452-2236	2452-2236	2
Current Opinion in HIV and AIDS	4	Q1	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE)	1746-630X	1746-6318	2
CURRENT OPINION IN IMMUNOLOGY	5.8	Q1	IMMUNOLOGY(SCIE)	0952-7915	1879-0372	2
CURRENT OPINION IN INFECTIOUS DISEASES	4	Q1	INFECTIOUS DISEASES(SCIE)	0951-7375	1473-6527	2
CURRENT OPINION IN LIPIDOLOGY	4.6	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE);PERIPHERAL VASCULAR DISEASE(SCIE)	0957-9672	1473-6535	3
CURRENT OPINION IN MICROBIOLOGY	7.5	Q1	MICROBIOLOGY(SCIE)	1369-5274	1879-0364	2
CURRENT OPINION IN NEUROBIOLOGY	5.2	Q1	NEUROSCIENCES(SCIE)	0959-4388	1873-6882	2
CURRENT OPINION IN NEUROLOGY	4.4	Q1	CLINICAL NEUROLOGY(SCIE);NEUROSCIENCES(SCIE)	1350-7540	1473-6551	2
CURRENT OPINION IN PHARMACOLOGY	4.2	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1471-4892	1471-4973	3
CURRENT OPINION IN PSYCHIATRY	4.9	Q1	PSYCHIATRY(SCIE, SSCI)	0951-7367	1473-6578	2
Current Opinion in Psychology	6.9	Q1	PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	2352-250X	2352-2518	2
CURRENT OPINION IN RHEUMATOLOGY	4.3	Q1	RHEUMATOLOGY(SCIE)	1040-8711	1531-6963	2
CURRENT OPINION IN STRUCTURAL BIOLOGY	7	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	0959-440X	1879-033X	2
Current Opinion in Toxicology	3.6	Q2	TOXICOLOGY(ESCI)	2468-2020	2468-2020	3
Current Opinion in Virology	5.1	Q1	VIROLOGY(SCIE)	1879-6257	1879-6265	2
Current Osteoporosis Reports	5.3	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	1544-1873	1544-2241	2
Current Pain and Headache Reports	3.5	Q2	CLINICAL NEUROLOGY(SCIE)	1531-3433	1534-3081	3
CURRENT PROBLEMS IN CARDIOLOGY	3.3	Q2	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	0146-2806	1535-6280	3
Current Problems in Pediatric and Adolescent Health Care	3.7	Q1	PEDIATRICS(SCIE)	1538-5442	1538-3199	3
Current Psychiatry Reports	6.7	Q1	PSYCHIATRY(SCIE, SSCI)	1523-3812	1535-1645	2
Current Research in Biotechnology	4	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(ESCI)	2590-2628	2590-2628	3
Current Research in Microbial Sciences	5.8	Q1	MICROBIOLOGY(ESCI)	2666-5174	2666-5174	2
Current Research in Parasitology & Vector-Borne Diseases	3.1	Q1	PARASITOLOGY(ESCI)	2667-114X	2667-114X	3
Current Rheumatology Reports	3.9	Q1	RHEUMATOLOGY(SCIE)	1523-3774	1534-6307	2
CURRENT TREATMENT OPTIONS IN ONCOLOGY	4.7	Q1	ONCOLOGY(SCIE)	1527-2729	1534-6277	2
CYTOKINE	3.7	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE);IMMUNOLOGY(SCIE)	1043-4666	1096-0023	3
CYTOKINE & GROWTH FACTOR REVIEWS	11.8	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	1359-6101	1879-0305	2
DEMOGRAPHY	3.6	Q1	DEMOGRAPHY(SSCI)	0070-3370	1533-7790	1
Dental and Medical Problems	3.9	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(ESCI);MEDICINE, GENERAL & INTERNAL(ESCI)	1644-387X	2300-9020	3
DENTAL TRAUMATOLOGY	3.1	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE)	1600-4469	1600-9657	3
Dentistry Journal	3.1	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(ESCI)	N/A	2304-6767	3
DENTOMAXILLOFACIAL RADIOLOGY	4.1	Q1	DENTISTRY, ORAL SURGERY & MEDICINE(SCIE);RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	0250-832X	1476-542X	3
DEPRESSION AND ANXIETY	3.3	Q1	PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)	1091-4269	1520-6394	2
Dermatitis	3.2	Q1	DERMATOLOGY(SCIE)	1710-3568	2162-5220	2
Dermatologic Therapy	3.4	Q1	DERMATOLOGY(SCIE)	1396-0296	1529-8019	3
Dermatology and Therapy	4.2	Q1	DERMATOLOGY(SCIE)	2193-8210	2190-9172	3
Deutsches Arzteblatt International	7.1	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	1866-0452	1866-0452	2
DEVELOPMENT	3.6	Q1	DEVELOPMENTAL BIOLOGY(SCIE)	0950-1991	1477-9129	2
DEVELOPMENT AND PSYCHOPATHOLOGY	3.7	Q1	PSYCHOLOGY, DEVELOPMENTAL(SSCI)	0954-5794	1469-2198	2
DEVELOPMENTAL CELL	8.7	Q1	CELL BIOLOGY(SCIE);DEVELOPMENTAL BIOLOGY(SCIE)	1534-5807	1878-1551	1
Developmental Cognitive Neuroscience	4.9	Q1	NEUROSCIENCES(SCIE);PSYCHOLOGY, DEVELOPMENTAL(SSCI)	1878-9293	1878-9307	2
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY	4.3	Q1	CLINICAL NEUROLOGY(SCIE);PEDIATRICS(SCIE)	0012-1622	1469-8749	2
DEVELOPMENTAL PSYCHOLOGY	3.1	Q2	PSYCHOLOGY, DEVELOPMENTAL(SSCI)	0012-1649	1939-0599	2
DEVELOPMENTAL REVIEW	5.6	Q1	PSYCHOLOGY, DEVELOPMENTAL(SSCI)	0273-2297	1090-2406	1
DEVELOPMENTAL SCIENCE	3.2	Q1	PSYCHOLOGY, DEVELOPMENTAL(SSCI);PSYCHOLOGY, EXPERIMENTAL(SSCI)	1363-755X	1467-7687	1
DIABETES	7.5	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	0012-1797	1939-327X	2
DIABETES-METABOLISM RESEARCH AND REVIEWS	6	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	1520-7552	1520-7560	3
Diabetes & Metabolic Syndrome-Clinical Research & Reviews	3.4	Q2	ENDOCRINOLOGY & METABOLISM(ESCI)	1871-4021	1878-0334	3
DIABETES & METABOLISM	4.7	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	1262-3636	1878-1780	2
Diabetes & Metabolism Journal	8.5	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	2233-6079	2233-6087	2
DIABETES CARE	16.6	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	0149-5992	1935-5548	1
DIABETES OBESITY & METABOLISM	5.7	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	1462-8902	1463-1326	2
DIABETES RESEARCH AND CLINICAL PRACTICE	7.4	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	0168-8227	1872-8227	3
Diabetes Technology & Therapeutics	6.3	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	1520-9156	1557-8593	2
DIABETIC MEDICINE	3.4	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	0742-3071	1464-5491	3
DIABETOLOGIA	10.2	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	0012-186X	1432-0428	1
Diabetology & Metabolic Syndrome	3.9	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	N/A	1758-5996	3
Diagnostic and Interventional Imaging	8.1	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	2211-5684	2211-5684	2
Diagnostics	3.3	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	N/A	2075-4418	3
Dialogues in Clinical Neuroscience	8.9	Q1	NEUROSCIENCES(SCIE)	1294-8322	1958-5969	2
DIGESTIVE AND LIVER DISEASE	3.8	Q2	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	1590-8658	1878-3562	2
Digestive Endoscopy	4.7	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE)	0915-5635	1443-1661	2
Disease Models & Mechanisms	3.3	Q1	CELL BIOLOGY(SCIE);MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PATHOLOGY(SCIE)	1754-8403	1754-8411	3
DISEASES OF THE COLON & RECTUM	3.7	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE)	0012-3706	1530-0358	2
DM DISEASE-A-MONTH	4.3	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	0011-5029	1557-8194	3
DRUG AND ALCOHOL DEPENDENCE	3.6	Q1	PSYCHIATRY(SCIE, SSCI);SUBSTANCE ABUSE(SCIE, SSCI)	0376-8716	1879-0046	2
DRUG DELIVERY	8.1	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1071-7544	1521-0464	2
Drug Delivery and Translational Research	5.5	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	2190-393X	2190-3948	3
Drug Design Development and Therapy	5.1	Q1	CHEMISTRY, MEDICINAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	1177-8881	N/A	2
DRUG DEVELOPMENT RESEARCH	4.2	Q1	CHEMISTRY, MEDICINAL(SCIE);PHARMACOLOGY & PHARMACY(SCIE)	0272-4391	1098-2299	3
DRUG DISCOVERY TODAY	7.5	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1359-6446	1878-5832	2
DRUG METABOLISM AND DISPOSITION	4	Q1	PHARMACOLOGY & PHARMACY(SCIE)	0090-9556	1521-009X	2
DRUG METABOLISM REVIEWS	3.8	Q2	PHARMACOLOGY & PHARMACY(SCIE)	0360-2532	1097-9883	3
DRUG RESISTANCE UPDATES	21.7	Q1	PHARMACOLOGY & PHARMACY(SCIE)	1368-7646	1532-2084	1
DRUGS	14.4	Q1	PHARMACOLOGY & PHARMACY(SCIE);TOXICOLOGY(SCIE)	0012-6667	1179-1950	1
Eating Disorders	3.5	Q1	PSYCHIATRY(SCIE, SSCI);PSYCHOLOGY(SCIE);PSYCHOLOGY, CLINICAL(SSCI)	1064-0266	1532-530X	3
EBioMedicine	10.8	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	2352-3964	2352-3964	1
EClinicalMedicine	10	Q1	MEDICINE, GENERAL & INTERNAL(SCIE)	N/A	2589-5370	1
EJNMMI Physics	3.2	Q1	RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING(SCIE)	2197-7364	2197-7364	2
EMBO JOURNAL	8.3	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	0261-4189	1460-2075	1
EMBO Molecular Medicine	8.3	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1757-4676	1757-4684	1
EMBO REPORTS	6.2	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);CELL BIOLOGY(SCIE)	1469-221X	1469-3178	1
Emergencias	6.3	Q1	EMERGENCY MEDICINE(SCIE)	1137-6821	2386-5857	2
EMERGING INFECTIOUS DISEASES	6.6	Q1	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE)	1080-6040	1080-6059	2
Emerging Microbes & Infections	7.5	Q1	IMMUNOLOGY(SCIE);INFECTIOUS DISEASES(SCIE);MICROBIOLOGY(SCIE)	N/A	2222-1751	1
Emerging Topics in Life Sciences	3.3	Q1	BIOCHEMISTRY & MOLECULAR BIOLOGY(ESCI);BIOLOGY(ESCI)	2397-8554	2397-8562	3
EMOTION	3.6	Q1	PSYCHOLOGY, EXPERIMENTAL(SSCI)	1528-3542	1931-1516	2
Emotion Review	3.4	Q1	PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)	1754-0739	1754-0747	3
ENDOCRINE-RELATED CANCER	4.6	Q1	ENDOCRINOLOGY & METABOLISM(SCIE);ONCOLOGY(SCIE)	1351-0088	1479-6821	2
ENDOCRINE PATHOLOGY	14.7	Q1	ENDOCRINOLOGY & METABOLISM(SCIE);PATHOLOGY(SCIE)	1046-3976	1559-0097	1
Endocrine Practice	4.6	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	1530-891X	1934-2403	3
ENDOCRINE REVIEWS	22	Q1	ENDOCRINOLOGY & METABOLISM(SCIE)	0163-769X	1945-7189	1
ENDOCRINOLOGY	3.3	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	0013-7227	1945-7170	3
Endocrinology and Metabolism	4.2	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	2093-596X	2093-5978	2
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA	4.2	Q2	ENDOCRINOLOGY & METABOLISM(SCIE)	0889-8529	1558-4410	2
Endoscopic Ultrasound	5.4	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	2303-9027	2226-7190	1
ENDOSCOPY	12.8	Q1	GASTROENTEROLOGY & HEPATOLOGY(SCIE);SURGERY(SCIE)	0013-726X	1438-8812	1
ENVIRONMENTAL MICROBIOLOGY	4	Q2	MICROBIOLOGY(SCIE)	1462-2912	1462-2920	2
ENZYME AND MICROBIAL TECHNOLOGY	3.7	Q2	BIOTECHNOLOGY & APPLIED MICROBIOLOGY(SCIE)	0141-0229	1879-0909	3
Epidemiology and Psychiatric Sciences	6.1	Q1	PSYCHIATRY(SCIE, SSCI)	2045-7960	2045-7979	2
Epigenetics	3.2	Q2	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);GENETICS & HEREDITY(SCIE)	1559-2294	1559-2308	3
Epigenetics & Chromatin	3.5	Q2	GENETICS & HEREDITY(SCIE)	N/A	1756-8935	2
EPILEPSIA	6.6	Q1	CLINICAL NEUROLOGY(SCIE)	0013-9580	1528-1167	1
Epilepsy Currents	6.3	Q1	CLINICAL NEUROLOGY(SCIE)	1535-7597	1535-7511	3
EPMA Journal	5.9	Q1	MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)	1878-5077	1878-5085	2
ERJ Open Research	4	Q1	RESPIRATORY SYSTEM(SCIE)	N/A	2312-0541	2
ESC Heart Failure	3.7	Q1	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	2055-5822	2055-5822	3
